CAMPO,FRASE
MOTIVOS,Posible Cuerpo Extraño a Nivel Intestinal
VESICULA BILIAR,Distención moderada
VESICULA BILIAR,Contenido anecoico normal
VESICULA BILIAR,Pared conservada
RIÑON DERECHO,Conserva buena relación y diferenciación corticomedular
BAZO,Eplenometria alcanzando un espesor de hasta __ mm
MOTIVOS,Posibles Parásitos
HIGADO,Higado Graso
ESPECIES,Canino
ESPECIES,Felino
ESPECIES,Equino
PERRO,PITBULL
PERRO,DOBERMAN
GATO,SIAMES
GATO,ANGORA
PERRO,PEQUINES
PERRO,TOY
PAIS,CHILE
PAIS,VENEZUELA
CHILE,CALAMA
CHILE,ANTOFAGASTA
CHILE,SANTIAGO
VENEZUELA,CARACAS
MEDICAMENTO,SIN MEDICAMENTO
ENFERMEDAD,SIN ENFERMEDAD
SEXO,MACHO  ENTERO
SEXO,HEMBRA
RAZAS,PITBULL
MEDICAMENTO,PROZAC
ENFERMEDAD,HIPERTENSO
SEXO,MACHO CASTRADO
PANCREAS,Tamaño normal
HIGADO,Hepatomegalia
HIGADO,"Ecogenicidad conservada, bordes finos, triangulares sin exceder el límite anatómico normal del estomago ni del riñón derecho"
HIGADO,Ecogenicidad reducida
HIGADO,"Ecogenicidad reducida, con aumento del contraste de los vasos sanguíneos"
HIGADO,Ecogenicidad aumentada
HIGADO,"Ecogenicidad aumentada, con aumento de la atenuación distal"
HIGADO,Ecogenicidad mixta
HIGADO,"Eco estructura conservada, ecogenicidad y tamaño conservados"
HIGADO,Se observan vasos congestivos
HIGADO,Se observan conductos biliares dilatados
HIGADO,Se observa signo de doble cañón
HIGADO,Se observa comunicación venosa patológica (Shunt)
MOTIVOS,Examen completo abdominal
CAVIDAD ABDOMINAL,No se observa líquido libre en abdomen
CAVIDAD ABDOMINAL,Se observa colecta abdominal anecoica pura
CAVIDAD ABDOMINAL,Se observa colecta abdominal con focos ecogénicos en suspensión compatible peritonitis infecciosa felina
CAVIDAD ABDOMINAL,Se observa peritoneo reactivo
CAVIDAD ABDOMINAL,Se observa peritonitis
BAZO,"Tamaño normal  parénquima ecogénico, homogéneo y con textura fina. Cápsula hiperecogénica, lisa"
BAZO,Esplenomegalia
BAZO,Parénquima hipoecoico
BAZO,Parénquima hiperecoico
BAZO,Heterogéneo
BAZO,Textura gruesa
BAZO,Bordes lancelados
BAZO,Borde redondeado
BAZO,Plegado sobre sí mismo
BAZO,Contorno irregular
BAZO,Patrón de encaje o de cielo estrellado
INTESTINO GRUESO,Vacío.
INTESTINO GRUESO,Distensión leve
INTESTINO GRUESO,Distensión moderada
INTESTINO GRUESO,Sobredistensión localizada.
INTESTINO GRUESO,Sobredistensión generalizada.
INTESTINO GRUESO,"Contenido gaseoso, en colon descendente"
INTESTINO GRUESO,Contenido mucoso
INTESTINO GRUESO,Contenido líquido
INTESTINO GRUESO,Contenido líquido con focos ecogénicos en suspensión.
INTESTINO GRUESO,Contenido heces.
INTESTINO GRUESO,Estratificación conservada.
INTESTINO GRUESO,Estratificación menos evidenciable.
INTESTINO GRUESO,Pérdida total de la estratificación localizada.
INTESTINO GRUESO,Perdida total de la estratificación generalizada.
INTESTINO GRUESO,Pared de grosor normal
INTESTINO GRUESO,Pared engrosada focalmente.
INTESTINO GRUESO,Pared engrosada.
INTESTINO GRUESO,Estrato mucoso engrosado.
INTESTINO GRUESO,Estrato muscular engrosado.
INTESTINO GRUESO,"Se observa imagen hiperecogénica con sombra acústica, sugerente de cuerpo extraño o fecaloma."
INTESTINO GRUESO,Peristaltismo aumentado.
INTESTINO GRUESO,Se observa signo de obstrucción.
GLANDULAS ADRENALES,De características ultrasonográficas conservadas.
PANCREAS,De características ultrasonográficas conservadas.
PANCREAS,Tamaño aumentado
PANCREAS,Ecogenicidad reducida
PANCREAS,Ecotextura heterogénea
PANCREAS,Se observa quiste
PANCREAS,Se observa imágenes pseudoquística
PANCREAS,Se observa el conducto pancreático dilatado
ESTOMAGO,Vacío
ESTOMAGO,Distensión leve
ESTOMAGO,Distensión moderada
ESTOMAGO,Sobredistensión
ESTOMAGO,Contenido gaseoso
ESTOMAGO,No evaluable.
ESTOMAGO,Contenido alimenticio
ESTOMAGO,Contenido mucoso
ESTOMAGO,Contenido líquido
ESTOMAGO,Contenido líquido con focos ecogénicos en suspensión
ESTOMAGO,Estratificación conservada
ESTOMAGO,Estratificación menos evidenciable
ESTOMAGO,Pérdida total de la estratificación
ESTOMAGO,Pseudoestratificación
ESTOMAGO,Pared de grosor normal
ESTOMAGO,Pared engrosada
ESTOMAGO,Estrato muscular engrosado
ESTOMAGO,Estrato submucoso engrosado
ESTOMAGO,Estrato mucoso engrosado
ESTOMAGO,Se observa lesión excavada sugerente de úlcera gástrica.
ESTOMAGO,"Se observa imagen hiperecogénica con sombra acústica posterior, sugerente de cuerpo extraño."
ESTOMAGO,Peristaltismo normal
ESTOMAGO,Peristaltismo aumentado
ESTOMAGO,Peristaltismo disminuido
ESTOMAGO,"Peristaltismo ausente, ileo"
VESICULA BILIAR,Distención leve
VESICULA BILIAR,Distención moderada (normal)
VESICULA BILIAR,"Sobre distendida,"
VESICULA BILIAR,Forma de saco (normal)
VESICULA BILIAR,"Pared ecogénica, íntegra, lisa, de espesor normal"
VESICULA BILIAR,Pared con ecogenicidad aumentada
VESICULA BILIAR,Signo de doble pared vesicular colecistitis
VESICULA BILIAR,Espesor normal
VESICULA BILIAR,Espesor engrosado
VESICULA BILIAR,"Se observa una imagen nodular en la pared, en la zona del (ápex - cuerpo - cuello)"
VESICULA BILIAR,Se observa imagen sugerente de ruptura vesicular
VESICULA BILIAR,Superficie interna regular
VESICULA BILIAR,"Superficie interna irregular,"
VESICULA BILIAR,Contenido anecoico homogéneo (normal)
VESICULA BILIAR,Contenido ecogénico homogéneo móvil (sedimento)
VESICULA BILIAR,"Se observa en su interior una imagen hiperecoica móvil, con sombra acústica posterior ,"
VESICULA BILIAR,"Se observa patrón estrellado, sugerente de Mucocele"
VESICULA BILIAR,Se observa conducto Cístico dilatado
VESICULA BILIAR,Se observa conducto Colédoco dilatado
VESICULA BILIAR,Pared del conducto colédoco engrosada
VESICULA BILIAR,Se observa imagen nodular sugerente de pólipo
VESICULA BILIAR,Se observa imagen nodular sugerente de neoplasia
VESICULA BILIAR,Se observa imagen nodular sugerente de hiperplasia de las glándulas mucinosas
RIÑON IZQUIERDO,Conserva buena relación y diferenciación corticomedular
RIÑON IZQUIERDO,Diferenciación corticomedular reducida
RIÑON IZQUIERDO,No se observa diferenciación corticomedular
RIÑON IZQUIERDO,Se observa pielectasia
RIÑON IZQUIERDO,Pelvis distendida
RIÑON IZQUIERDO,"Capsula de superficie lisa, regular y ecogénica"
RIÑON IZQUIERDO,Superficie irregular
RIÑON DERECHO,"Diferenciación corticomedular reducida,"
RIÑON DERECHO,No se observa diferenciación corticomedular
RIÑON DERECHO,Se observa pielectasia
RIÑON DERECHO,Pelvis distendida
RIÑON DERECHO,"Superficie lisa, regular y ecogénica"
RIÑON DERECHO,Superficie irregular
RIÑON DERECHO,Con la misma descripción ecográfica del riñón contralateral
INTESTINO DELGADO,Vacío.
INTESTINO DELGADO,Distensión leve
INTESTINO DELGADO,Distensión moderada
INTESTINO DELGADO,Sobredistensión localizada
INTESTINO DELGADO,Sobredistensión generalizada
INTESTINO DELGADO,Contenido gaseoso
INTESTINO DELGADO,Contenido mucoso
INTESTINO DELGADO,Contenido líquido intraluminal
INTESTINO DELGADO,Contenido líquido con focos ecogénicos en suspensión.
INTESTINO DELGADO,Estratificación conservada
INTESTINO DELGADO,Estratificación menos evidenciable
INTESTINO DELGADO,Pérdida total de la estratificación localizada.
INTESTINO DELGADO,Perdida total de la estratificación generalizada
INTESTINO DELGADO,Pared de grosor normal
INTESTINO DELGADO,Pared engrosada focalmente
INTESTINO DELGADO,Pared engrosada
INTESTINO DELGADO,Estrato muscular engrosado
INTESTINO DELGADO,Estrato submucoso engrosado
INTESTINO DELGADO,Estrato mucoso engrosado
INTESTINO DELGADO,"Se observa imagen hiperecogénica con sombra acústica posterior, sugerente de cuerpo extraño."
INTESTINO DELGADO,Peristaltismo normal
INTESTINO DELGADO,Peristaltismo aumentado
INTESTINO DELGADO,Peristaltismo disminuido
INTESTINO DELGADO,"Peristaltismo ausente, ileo"
INTESTINO DELGADO,Se observa signo de obstrucción
INTESTINO DELGADO,Se observa signo de intestino corrugado
INTESTINO DELGADO,"Se observan multiples capas concéntrica, sugerente de intususcepción"
VEJIGA,"Escaso contenido, no evaluable."
VEJIGA,Distensión moderada.
VEJIGA,Sobredistendida.
VEJIGA,Contenido anecoico puro.
VEJIGA,"Contenido anecoico, con sedimento celular."
VEJIGA,"Contenido anecoico, con sedimento mineralizado."
VEJIGA,"Se observa estructura hiperecogénica con sombra posterior, sugerente de Cálculo."
VEJIGA,Pared conservada.
VEJIGA,Pared con aumento del espesor generalizado.
VEJIGA,"Pared con aumento del espesor localizado, en"
VEJIGA,Se observa formaicónpolipoide.
LINFONODOS,Ecográficamente conservados.
LINFONODOS,No se observaron linfonódulos reactivos durante este estudio.
LINFONODOS,Se observan linfonódulos reactivos.
LINFONODOS,Ecogenicidad reducida.
LINFONODOS,Forma redondeada.
PROSTATA,De características ecográficas conservadas
PROSTATA,Se observa colecta interna
PROSTATA,"Bilobulada, simétrica, de textura fina a media, ecogénica"
PROSTATA,Hemisferios prostaticos evidencian asimetría
PROSTATA,Homogéneo
PROSTATA,Heterogéneo
PROSTATA,Se observa lesión quística
PROSTATA,Tamaño normal
PROSTATA,Prostatomegalia.
TESTICULOS,"Tamaño normal Ovoide, ecogénico, de textura fina homogénea, atravesado por una línea hiperecogénica del mediastino testicular"
TESTICULOS,Tamaño aumentado
TESTICULOS,Tamaño reducido
PAIS,COLOMBIA
COLOMBIA,CALI VALLE
RAZAS,YORK SHIRE TERRIER
SEXO,Hembra castrada
RAZAS,SHIH TZU
RAZAS,PUG
RAZAS,BEAGLE
RAZAS,PERSA
RAZAS,JACK RUSSEL TERRIER
RAZAS,BULLDOG
RAZAS,POODLE
RAZAS,SCHNAUZER
RAZAS,CRIOLLO
RAZAS,BULL TERRIER
ENFERMEDAD,DIAGNOSTICO DE HEMANGIOSARCOMA
RAZAS,LABRADOR
RAZAS,PINSCHER
ENFERMEDAD,INSUFICIENCIA RENAL
ENFERMEDAD,DEMODECOSIS GENERALIZADA
ENFERMEDAD,TUMOR EN ANO
ENFERMEDAD,AUMENTODE TAMAÑO DE ABDOMEN
ENFERMEDAD,ICTERICIA
ENFERMEDAD,DISURIA Y HEMATURIA
ENFERMEDAD,ASCITIS
ENFERMEDAD,Vomito con sangre
ENFERMEDAD,PACIENTE QUE PRESENTA CELO POSTERIOR A OVH
ENFERMEDAD,DIFCULTAD EN LA MICCION
RAZAS,POINTER ALEMAN
RAZAS,TECKEL
ENFERMEDAD,EPILEPSIA
ENFERMEDAD,MENINGITIS Y ESPONDILOARTROSIS
RAZAS,COCKER
RAZAS,CHIHUAHUA
RAZAS,PASTOR ALEMAN
RIÑON IZQUIERDO,Tamaño y ubicación anatómica normal
RAZAS,POMERANIA
RAZAS,GOLDEN RETRIVER
RAZAS,BASSET HOUND
ENFERMEDAD,TRASTORNOS URINARIOS
ENFERMEDAD,PUENTES PORTO SISTEMICOS
ENFERMEDAD,IRC
ENFERMEDAD,DIAGNOSTICO DE PREÑEZ
ENFERMEDAD,CALCULOS EN VEJIGA
ENFERMEDAD,HEMANGIOSARCOMA
RIÑON DERECHO,"Arteria y vena renal normal, vasos arcuados normales, al doppler color se observa normalidad"
RIÑON IZQUIERDO,"Arteria y vena renal normal, vasos arcuados normales"
RIÑON IZQUIERDO,Doppler color normal.
GRANDES VASOS,Normales.
ENFERMEDAD,CONTROL POSQUIRURGICO
RAZAS,ROTTWEILER
ENFERMEDAD,LEUCOPENIA
ENFERMEDAD,CONTROL POST QUIRURGICO
RAZAS,Boxer
RAZAS,PASTOR COLLIE
ENFERMEDAD,DESCARTAR PREÑEZ
ENFERMEDAD,DISTENSION ABDOMINAL
RAZAS,BOXER
ENFERMEDAD,DESCARTAR REMANENTE OVARICO
ENFERMEDAD,MASA EN ABDOMEN CAUDAL
MOTIVOS,"Diagnóstico de preñez, tiempo gestación"
RAZAS,SHAR PEI
ENFERMEDAD,POSIBLE CUERPO EXTRAÑO INTESTINAL
RAZAS,DOGO DE BURDEOS
ENFERMEDAD,TUMOR EN CUELLO
ENFERMEDAD,Vomito
ENFERMEDAD,CONVULSIONES
RAZAS,SIBERIAN HUSKY
RAZAS,CANINO
UTERO,Ventral  a la vejiga se localiza el útero este se encuentra con contenido de fetos
UTERO,"Todos los fetos presentan fetocardia positiva,"
UTERO,"Se hace medición de los sacos gestacionales,"
UTERO,"Todos los fetos presentan un desarrollo adecuado para la edad calculada,"
RAZAS,BOSTON TERRIER
VEJIGA URINARIA,Paredes con aumento de grosor e irregularidad en sus bordes de mucosa
HIGADO,"Bordes finos, triangulares sin exceder el límite anatómico normal del estómago ni del riñón derecho"
HIGADO,"Bordes redondeados, aumentados de tamaño, excediendo  su límite con relación al estómago"
RAZAS,FELINO
RAZAS,BULLDOG FRANCES
RAZAS,TECKEL
HIGADO,"Hiperecogenicidad, hepatopatía esteroidal, Lipidosis, hepatopatías vacuolares, hepatitis crónica,"
HIGADO,"Hiperecogenicidad, fibrosis, cirrosis, linfoma, tumor de mastocitos."
HIGADO,"Hipoecogenicidad, congestión pasiva, hepatitis aguda, colangiohepatitis, Linfoma, Leucemia,"
HIGADO,"Ecogenicidad mixta, presuntivo fibrosis hepática, Carcinoma Hepatocelular, Metástasis, Necrosis, Amiloidosis o  Linfoma por confirmar"
HIGADO,"Ecogenicidad mixta, presuntiva hepatopatía esteroidea asociada a hiperplasia, Linfoma, Hepatitis por confirmar"
HIGADO,"Hepatomegalia difusa, presuntiva hepatopatía esteroidal, Lipidosis, hepatitis, colangiohepatitis,"
HIGADO,"Hepatomegalia difusa, presuntiva Neoplasia de células Redondas, linfoma, histiocitosis, mastocitos,"
HIGADO,"Hepatomegalia difusa, presuntivo Carcinoma Masivo Hepatocelular, Metástasis, Amiloidoisis"
HIGADO,"Hepatomegalia focal o asimétrica, presuntiva Neoplasia primaria o Metástasis, absceso, quiste, o granuloma,"
HIGADO,"Hepatomegalia focal o asimétrica, trombosis, torsión lobular, hematoma,"
HIGADO,"Hígado pequeño, Shunt porto sistémico, displasia micro vascular o hipoplasia  de vena porta,"
HIGADO,"Hígado pequeño, presuntiva cirrosis, fibrosis, hipovolemia severa,"
HIGADO,"Lesiones focales Anecoicas compatibles con quistes, tumor quístico, necrosis, absceso y/o hematoma,"
HIGADO,"Lesiones focales Hipoecoicas compatibles con hiperplasia nodular, metástasis, linfoma, neoplasia hepática,"
HIGADO,"Lesiones focales hipoecoicas, absceso, necrosis, hematoma, complejo quístico,"
HIGADO,"Lesiones focales de ecogenicidad mixta, presuntiva hiperplasia nodular, neoplasia primaria, metástasis,"
HIGADO,"Lesiones focales de ecogenicidad mixta, presuntivos abscesos y/o hematomas"
HIGADO,Con  posición en decúbito dorsal  izquierdo y derecho  se hace aproximación al hígado
HIGADO,Los lóbulos del lado izquierdo  conforman un tercio de la masa hepática
HIGADO,El lóbulo cuadrado es relativamente central y rodea parcialmente la vesícula biliar
HIGADO,"Los lóbulos izquierdos son el lateral, medial y cuadrado"
HIGADO,"Los lóbulos derechos son lateral, medial y caudado, hacia el centro tenemos el  proceso papilar"
HIGADO,Los cuales conforman la totalidad de la masa del hígado
HIGADO,El ligamento falciforme esta en el campo cercano y se observa
HIGADO,Isoecoico en relación al hígado
HIGADO,Hiperecoica en relación al hígado y presenta una gruesa ecotextura
HIGADO,"Hígado hiperecoico en relación a la grasa falciforme por la obesidad del gato,"
HIGADO,Parénquima hepático normal es uniformemente hipoecoico con una ecotextura gruesa comparada con el
HIGADO,En la sección transversa del hígado los vasos aparecen como estructuras redondeadas anecoicas
HIGADO,En la sección trasversa del hígado se reconocen las ramas portales con límites hiperecoicos
HIGADO,"Lesiones focales hiperecoicas , mineralizacion , colelitiasis , grasa , mielolipoma , gas, hiperplas"
HIGADO,"Lesiones focales hiperecoicas, presuntiva hiperplasia nodular, neoplasia primaria, absceso o granuloma                 ,"
RAZAS,PERRO DE AGUA ESPAÑOL
LINFONODOS,"El paciente presenta linfodenopatia periférica,"
RAZAS,SIAMES
RAZAS,CANICHE
MOTIVOS,Ecografía abdominal por distención y/o dolor
PANCREAS,No evaluable
INTESTINO DELGADO,Con contenido intraluminal con focos ecogénicos en suspensión.
VEJIGA URINARIA,Con leve contenido anecoico
VEJIGA URINARIA,"No se aprecian masas, ni urolitos, ni estructuras vegetativas"
HIGADO,En lóbulo lateral izquierdo presenta
HIGADO,"Los demás lóbulos hepáticos conservan bordes redondeados, levemente aumentados de tamaño, excediendo sus límites."
BAZO,"Tamaño fisiológico, posición normal en su proporción abdominal izquierda,  ecotextura de morfología uniforme, parénquima homogéneo, bordes lancelados, cápsula hiperecogénica lisa"
OTROS,"NOTA. *La ecografía es un método diagnostico complementario que no determina función, ni tipo  de celular de los organos afectados,"
RIÑON IZQUIERDO,Conserva buena diferenciación corticomedular
VESICULA BILIAR,"Con leve lodo biliar en proporción menor al 20%, Superficie interna regular lisa."
VEJIGA URINARIA,Se aprecia una estructura hiperecoica redondeada con cuello pedunculada sin sobra acústica sugerente de pólipo o coagulo reciente.
VEJIGA URINARIA,Con leve contenido anecoico urinario seguido de focos en suspensión hiperecoicos sin sombra acústica
GLANDULAS ADRENALES,"GL Izquierda,  tamaño y forma bilobulada conservada"
GLANDULAS ADRENALES,"GL derecha, tamaño triangular o en delta"
GLANDULAS ADRENALES,"Longitud 16.12mm, polo craneal 5.41mm de ancho y caudal 4.27mm"
CONCLUSIONES,"Por las alteraciones en sistema urinario se recomienda realizar Exámenes complementarios según criterio médico tratante (Hemograma, creatinina, fosforo, BUN, Urianalisis con urocultivo) y repetir"
OTROS,"Frecuencia cardiaca en Aorta Abdominal durante el examen ecográfico___ lpm, por medición doppler."
OTROS,"En la exploración ecográfica se observan las pleuras parietal y visceral normales, con deslizamiento positivo, no se evidencia derrame pleural, no presenta signo nodular"
OTROS,Hemitorax Derecho e Izquierdo
OTROS,"No se evidencia bronco-grama, presenta aproximadamente __ ondas B por espacio intercostal en patrón de abanico"
OTROS,"Se lleva a cabo un rastreo A-FAST, T-FAST"
CAVIDAD ABDOMINAL,"No se observa liquido libre en ninguno de sus 4 cuadrantes abdominales Cisto Cólico CC, esplenorenal SR , Hepato Diafragmático HD y Hepatorenal HR."
CAVIDAD ABDOMINAL,Cuadrante Cisto Cólico CC
CAVIDAD ABDOMINAL,Cuadrante Esplenorenal SR
CAVIDAD ABDOMINAL,Cuadrante Hepato Diafragmático HD
CAVIDAD ABDOMINAL,Cuadrante Hepatorenal HR
CAVIDAD ABDOMINAL,Masa abdominal sin organodependencia definida
OTROS,NOTA. * * el diagnóstico ecográfico debe ser interpretado por el médico solicitante deacuerdo a la clinica y sus paraclinicos.
UTERO,Nota: la ecografía es una prueba dinámica donde los cachorros están en movimiento en un abdomen cilíndrico donde puede variar el número de cachorros a la primera impresión
UTERO,"Nota:* en algunas ocasiones un feto puede ser contado dos veces o alguno se puede esconder al ultrasonido por los órganos abdominales, para determinar confiabilidad en el número de cachorros  se"
UTERO,Nota:** recomienda realizar ecografía de control con Radiografía LL o VD para determinar el número exacto de cachorros y su posicionamiento previo al parto.
UTERO,Útero izquierdo un cachorro en
UTERO,Útero derecho un cachorro en
UTERO,"Presentación  posterior o pélvica ,"
UTERO,"Presentación   anterior o cefálica,"
UTERO,LATIDO FETAL:  Mayor a 200 lpm normal
UTERO,LATIDO FETAL:  De 180 a 200 lpm estrés de Parto
UTERO,LATIDO FETAL:  De 160 a 180 lpm estrés fetal en riesgo
UTERO,LATIDO FETAL:  De 140 a 160 lpm sufrimiento de parto
UTERO,Movimiento peristáltico intestinal fetal  que corrobora edad gestacional mayor a 60 días.
UTERO,"Con diámetro biparietal de ____ para una edad gestacional aproximada de __ semanas y __ días, para una fecha probable de parto aproximada del ________"
PROSTATA,Posición hipogastrio medio  caudal al trigono vesical
PROSTATA,"Ecogenicidad granular mixta en corte transversal, hiperecoica en distribución de tejido ductal y tejido conectivo glandular hipoecoico normal (patrón mariposa)"
PROSTATA,Quistes
PROSTATA,Compatibilidad con Hiperplasia
PROSTATA,Compatibilidad con  Hipoplasia
PROSTATA,Compatibilidad con  Adenomas
PROSTATA,Hemisferios prostaticos evidencian adecuada simetría
MOTIVOS,Presentación de vómitos
MOTIVOS,Presentación de flujo vaginal
MOTIVOS,Presentación de polidipsia y poliuria
MOTIVOS,Traumatismo abdominal por choque vehicular
MOTIVOS,Traumatismo abdominal por caída
MOTIVOS,Presentación de diarrea
MOTIVOS,Posible masa abdominal
MOTIVOS,"Alteración analítica en sus exámenes de laboratorio Hemograma, Urianalisis y/o química sanguínea"
MOTIVOS,"Alteración en sistema urinario (FLUDT, hematuria, estranguria, oliguria, Urolitiasis)"
MOTIVOS,Convulsiones
MOTIVOS,Problemas endocrinos
MOTIVOS,Examen anual geriátrico
MOTIVOS,Traumatismo torácico
RIÑON IZQUIERDO,Relación Riñón Aorta
RIÑON DERECHO,Alteración en relación cortical disminuida y medular aumentada sugerente de hidronefrosis
RIÑON DERECHO,Tamaño y ubicación anatómica normal alojado en la fosa renal del lóbulo caudado  hepático
VEJIGA URINARIA,Aumentada de tamaño con contenido anecoico
VEJIGA URINARIA,Con abundante sedimento urinario
VEJIGA URINARIA,"Presenta inflamación en pared vesical
"
VEJIGA URINARIA,No evidencia líquido libre en el cuadrante cistocolico
URETRA,Presenta dilatación de la uretra
UTERO,"Paredes con engrosamiento mayor a un cm de diámetro,"
UTERO,Sugerente de Piometra o Hiperplasia endometrial
UTERO,"Sugerente de mucometra, hidrómetra, Hemómetra"
UTERO,Colecta uterina interna con focos hiperecoicos en formas anulares
OVARIOS,Forma ovalada o redondeada de ecotextura hipoecoica
OVARIOS,Con presentación anecoica redondeada en su interior de presuntivo quiste o folículo de graff
OVARIOS,Quiste con reforzamiento posterior
GLANDULA MAMARIA,Presenta una estructura de ecotextura mixta glandular
GLANDULA MAMARIA,"Con focos hiperecoicos, hipoecoicos y anecoicos desproporcionados"
GLANDULA MAMARIA,En glandula mamaria izquierda
